Song_id,Song,Singer,Genre,Album,User-Rating,Emotion,videoID,Thumbnail
0,Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",BollywoodDance,Simmba,8.8,Happy,_KhQT-LGb-4,https://img.youtube.com/vi/_KhQT-LGb-4/maxresdefault.jpg
1,Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Luka Chuppi,9,Happy,_cPHiwPqbqo,https://img.youtube.com/vi/_cPHiwPqbqo/maxresdefault.jpg
2,Apna Time Aayega,Ranveer Singh,BollywoodDance,Gully Boy,9.7,Happy,jFGKJBPFdUA,https://img.youtube.com/vi/jFGKJBPFdUA/maxresdefault.jpg
3,Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",BollywoodDance,Total Dhamaal,9.1,Happy,ylW9gdva7Oo,https://img.youtube.com/vi/ylW9gdva7Oo/maxresdefault.jpg
4,Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",BollywoodRomantic,Simmba,9.2,Happy,hejXc_FSYb8,https://img.youtube.com/vi/hejXc_FSYb8/maxresdefault.jpg
5,Gali Gali,Neha Kakkar,BollywoodDance,KGF,9.1,Happy,1BVgpX4w0Wk,https://img.youtube.com/vi/1BVgpX4w0Wk/maxresdefault.jpg
6,Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",BollywoodDance,Fraud Saiyaan,9.2,Happy,ci-NpErqrGM,https://img.youtube.com/vi/ci-NpErqrGM/maxresdefault.jpg
7,Mere Gully Mein,Ranveer Singh,BollywoodDance,Gully Boy,9.5,Happy,pGmbUdf6lEM,https://img.youtube.com/vi/pGmbUdf6lEM/maxresdefault.jpg
8,Kamariya,Darshan Raval,BollywoodDance,Mitron,9.2,Happy,i0_m90T04uw,https://img.youtube.com/vi/i0_m90T04uw/maxresdefault.jpg
9,Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6,Happy,fTauOK8J-U8,https://img.youtube.com/vi/fTauOK8J-U8/maxresdefault.jpg
10,Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,8.8,Happy,7TRFf7uUfhQ,https://img.youtube.com/vi/7TRFf7uUfhQ/maxresdefault.jpg
11,Poster Lagwa Do,"Mika Singh, Sunanda Sharma",BollywoodDance,Luka Chuppi,8.4,Happy,MXEMx_48G_k,https://img.youtube.com/vi/MXEMx_48G_k/maxresdefault.jpg
12,Daaru Wargi,Guru Randhawa,BollywoodDance,Cheat India,9.1,Happy,VXVmtHcf2Dg,https://img.youtube.com/vi/VXVmtHcf2Dg/maxresdefault.jpg
13,Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",BollywoodDance,Satyameva Jayate,9.2,Happy,JFcgOboQZ08,https://img.youtube.com/vi/JFcgOboQZ08/maxresdefault.jpg
14,Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",BollywoodDance,Namaste England,9,Happy,YmXJp4RtBCM,https://img.youtube.com/vi/YmXJp4RtBCM/maxresdefault.jpg
15,Doori,Ranveer Singh,BollywoodDance,Gully Boy,9.7,Happy,Jv2Z9KJgYjU,https://img.youtube.com/vi/Jv2Z9KJgYjU/maxresdefault.jpg
16,Dil Diyan Gallan,Atif Aslam,BollywoodRomantic,Tiger Zinda Hai,9.1,Happy,SAcpESN_Fk4,https://img.youtube.com/vi/SAcpESN_Fk4/maxresdefault.jpg
