item_id,Title,Director,Stars,IMDB,Category,Duration,Censor,Released,videoID,thumbnail,Final Emotion
0,Top Gun: Maverick,JosephKosinski,"TomCruise, JenniferConnelly, MilesTeller, ValKilmer",8.6,"Action,Drama",130min,UA,2022,eJUnA0DKsvg,https://img.youtube.com/vi/eJUnA0DKsvg/maxresdefault.jpg,Angry
1,Everything Everywhere All at Once,"DanKwan,","MichelleYeoh, StephanieHsu, KeHuyQuan, JamesHong",8.3,"Action,Adventure,Comedy",139min,R,2022,wxN1T1uxQ2g,https://img.youtube.com/vi/wxN1T1uxQ2g/maxresdefault.jpg,Angry
2,The Batman,MattReeves,"RobertPattinson, ZoëKravitz, JeffreyWright, ColinFarrell",7.9,"Action,Crime,Drama",176min,UA,2022,mqqft2x_Aa4,https://img.youtube.com/vi/mqqft2x_Aa4/maxresdefault.jpg,Angry
3,Jurassic Park,StevenSpielberg,"SamNeill, LauraDern, JeffGoldblum, RichardAttenborough",8.2,"Action,Adventure,Sci-Fi",127min,UA,1993,Rc_i5TKdmhs,https://img.youtube.com/vi/Rc_i5TKdmhs/maxresdefault.jpg,Angry
4,The Godfather,FrancisFordCoppola,"MarlonBrando, AlPacino, JamesCaan, DianeKeaton",9.2,"Crime,Drama",175min,A,1972,UaVTIH8mujA,https://img.youtube.com/vi/UaVTIH8mujA/maxresdefault.jpg,Angry
5,Spider-Man: No Way Home,JonWatts,"TomHolland, Zendaya, BenedictCumberbatch, JacobBatalon",8.3,"Action,Adventure,Fantasy",148min,UA,2021,JfVOs4VSpmA,https://img.youtube.com/vi/JfVOs4VSpmA/maxresdefault.jpg,Angry
6,RRR (Rise Roar Revolt),S.S.Rajamouli,"N.T.RamaRaoJr., RamCharan, AjayDevgn, AliaBhatt",8.1,"Action,Drama",187min,UA,2022,GY4BgdUSpbE,https://img.youtube.com/vi/GY4BgdUSpbE/maxresdefault.jpg,Angry
7,Pirates of the Caribbean: The Curse of the Black Pearl,GoreVerbinski,"JohnnyDepp, GeoffreyRush, OrlandoBloom, KeiraKnightley",8.1,"Action,Adventure,Fantasy",143min,UA,2003,naQr0uTrH_s,https://img.youtube.com/vi/naQr0uTrH_s/maxresdefault.jpg,Angry
8,Dune: Part One,DenisVilleneuve,"TimothéeChalamet, RebeccaFerguson, Zendaya, OscarIsaac",8,"Action,Adventure,Drama",155min,UA,2021,n9xhJrPXop4,https://img.youtube.com/vi/n9xhJrPXop4/maxresdefault.jpg,Angry
9,Goodfellas,MartinScorsese,"RobertDeNiro, RayLiotta, JoePesci, LorraineBracco",8.7,"Biography,Crime,Drama",145min,A,1990,2ilzidi_J8Q,https://img.youtube.com/vi/2ilzidi_J8Q/maxresdefault.jpg,Angry
10,The Shawshank Redemption,FrankDarabont,"TimRobbins, MorganFreeman, BobGunton, WilliamSadler",9.3,Drama,142min,A,1994,NmzuHjWmXOc,https://img.youtube.com/vi/NmzuHjWmXOc/maxresdefault.jpg,Neutral
11,Star Wars,GeorgeLucas,"MarkHamill, HarrisonFord, CarrieFisher, AlecGuinness",8.6,"Action,Adventure,Fantasy",121min,U,1977,EwT2A__ft_0,https://img.youtube.com/vi/EwT2A__ft_0/maxresdefault.jpg,Angry
12,Titanic,JamesCameron,"LeonardoDiCaprio, KateWinslet, BillyZane, KathyBates",7.9,"Drama,Romance",194min,UA,1997,3gK_2XdjOdY,https://img.youtube.com/vi/3gK_2XdjOdY/maxresdefault.jpg,Happy
13,Harry Potter and the Sorcerers Stone,ChrisColumbus,"DanielRadcliffe, RupertGrint, RichardHarris, MaggieSmith",7.6,"Adventure,Family,Fantasy",152min,U,2001,VyHV0BRtdxo,https://img.youtube.com/vi/VyHV0BRtdxo/maxresdefault.jpg,Happy
14,Once Upon a Time in... Hollywood,QuentinTarantino,"LeonardoDiCaprio, BradPitt, MargotRobbie, EmileHirsch",7.6,"Comedy,Drama",161min,A,2019,ELeMaP8EPAA,https://img.youtube.com/vi/ELeMaP8EPAA/maxresdefault.jpg,Happy
15,The Goonies,RichardDonner,"SeanAstin, JoshBrolin, JeffCohen, CoreyFeldman",7.7,"Adventure,Comedy,Family",114min,U,1985,hJ2j4oWdQtU,https://img.youtube.com/vi/hJ2j4oWdQtU/maxresdefault.jpg,Happy
16,American Psycho,MaryHarron,"ChristianBale, JustinTheroux, JoshLucas, BillSage",7.6,"Crime,Drama,Horror",102min,A,2000,Ruw9fsh3PNY,https://img.youtube.com/vi/Ruw9fsh3PNY/maxresdefault.jpg,Angry
17,Avengers: Endgame,"AnthonyRusso,",", RobertDowneyJr., ChrisEvans, MarkRuffalo, ChrisHemsworth",8.4,"Action,Adventure,Drama",181min,UA,2019,TcMBFSGVi1c,https://img.youtube.com/vi/TcMBFSGVi1c/maxresdefault.jpg,Angry
18,Star Wars: Episode III - Revenge of the Sith,GeorgeLucas,"HaydenChristensen, NataliePortman, EwanMcGregor, SamuelL.Jackson",7.6,"Action,Adventure,Fantasy",140min,U,2005,5UnjrG_N8hU,https://img.youtube.com/vi/5UnjrG_N8hU/maxresdefault.jpg,Angry
19,The Gentlemen,GuyRitchie,"MatthewMcConaughey, CharlieHunnam, MichelleDockery, JeremyStrong",7.8,"Action,Comedy,Crime",113min,A,2019,Ify9S7hj480,https://img.youtube.com/vi/Ify9S7hj480/maxresdefault.jpg,Angry
20,Whiplash,DamienChazelle,"MilesTeller, J.K.Simmons, MelissaBenoist, PaulReiser",8.5,"Drama,Music",106min,A,2014,7d_jQycdQGo,https://img.youtube.com/vi/7d_jQycdQGo/maxresdefault.jpg,Happy
21,The Dark Knight,ChristopherNolan,"ChristianBale, HeathLedger, AaronEckhart, MichaelCaine",9,"Action,Crime,Drama",152min,UA,2008,EXeTwQWrcwY,https://img.youtube.com/vi/EXeTwQWrcwY/maxresdefault.jpg,Angry
22,Interstellar,ChristopherNolan,"MatthewMcConaughey, AnneHathaway, JessicaChastain, MackenzieFoy",8.6,"Adventure,Drama,Sci-Fi",169min,UA,2014,zSWdZVtXT7E,https://img.youtube.com/vi/zSWdZVtXT7E/maxresdefault.jpg,Happy
23,Joker,ToddPhillips,"JoaquinPhoenix, RobertDeNiro, ZazieBeetz, FrancesConroy",8.4,"Crime,Drama,Thriller",122min,A,2019,kFVlTEXTtDo,https://img.youtube.com/vi/kFVlTEXTtDo/maxresdefault.jpg,Angry
24,Knives Out,RianJohnson,"DanielCraig, ChrisEvans, AnadeArmas, JamieLeeCurtis",7.9,"Comedy,Crime,Drama",130min,UA,2019,xi-1NchUqMA,https://img.youtube.com/vi/xi-1NchUqMA/maxresdefault.jpg,Angry
25,CODA,SianHeder,"EmiliaJones, MarleeMatlin, TroyKotsur, DanielDurant",8,"Comedy,Drama,Music",111min,A,2021,0pmfrE1YL4I,https://img.youtube.com/vi/0pmfrE1YL4I/maxresdefault.jpg,Happy
26,The Fifth Element,LucBesson,"BruceWillis, MillaJovovich, GaryOldman, IanHolm",7.6,"Action,Adventure,Sci-Fi",126min,UA,1997,r4Q61MJQ0EY,https://img.youtube.com/vi/r4Q61MJQ0EY/maxresdefault.jpg,Angry
27,Verdens verste menneske,JoachimTrier,"RenateReinsve, AndersDanielsenLie, HerbertNordrum, HansOlavBrenner",7.9,"Comedy,Drama,Romance",128min,R,2021,cc8yFxrmPVc,https://img.youtube.com/vi/cc8yFxrmPVc/maxresdefault.jpg,Happy
28,Avatar,JamesCameron,"SamWorthington, ZoeSaldana, SigourneyWeaver, MichelleRodriguez",7.8,"Action,Adventure,Fantasy",162min,UA,2009,o5F8MOz_IDw,https://img.youtube.com/vi/o5F8MOz_IDw/maxresdefault.jpg,Angry
29,Mission: Impossible - Fallout,ChristopherMcQuarrie,"TomCruise, HenryCavill, VingRhames, SimonPegg",7.7,"Action,Adventure,Thriller",147min,U/A,2018,wb49-oV0F78,https://img.youtube.com/vi/wb49-oV0F78/maxresdefault.jpg,Neutral
30,Inception,ChristopherNolan,"LeonardoDiCaprio, JosephGordon-Levitt, ElliotPage, KenWatanabe",8.8,"Action,Adventure,Sci-Fi",148min,UA,2010,YoHD9XEInc0,https://img.youtube.com/vi/YoHD9XEInc0/maxresdefault.jpg,Angry
31,The Departed,MartinScorsese,"LeonardoDiCaprio, MattDamon, JackNicholson, MarkWahlberg",8.5,"Crime,Drama,Thriller",151min,A,2006,iojhqm0JTW4,https://img.youtube.com/vi/iojhqm0JTW4/maxresdefault.jpg,Angry
32,K.G.F: Chapter 2,PrashanthNeel,"Yash, SanjayDutt, RaveenaTandon, SrinidhiShetty",8.6,"Action,Crime,Drama",168min,UA,2022,ULEQb_l-N08,https://img.youtube.com/vi/ULEQb_l-N08/maxresdefault.jpg,Angry
